record_date,tax_deposit_type,tax_deposit_type_desc,tax_deposit_today_amt,tax_deposit_mtd_amt,tax_deposit_fytd_amt,table_nbr,table_nm,sub_table_name,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2016-01-27,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,29,315,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,27
2016-01-27,Cash Federal Tax Deposits,Direct,119,1719,9843,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,27
2016-01-27,Cash Federal Tax Deposits,Through Depositaries,10316,195846,851742,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,27
2016-01-27,Inter-agency Transfers,null,7,6245,29789,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,27
2016-01-28,Withheld Income and Employment Taxes,null,2994,181059,743376,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,28
2016-01-28,Individual Income Taxes,null,133,12406,21370,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,28
2016-01-28,Railroad Retirement Taxes,null,5,407,1766,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,28
2016-01-28,Excise Taxes,null,434,4321,23506,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,28
2016-01-28,Corporation Income Taxes,null,54,8766,103428,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,28
2016-01-28,Federal Unemployment Taxes,null,71,512,1305,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,28
2016-01-28,Estate and Gift Taxes & Misc IRS Rcpts.,null,6,35,321,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,28
2016-01-28,Cash Federal Tax Deposits,Direct,122,1840,9965,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,28
2016-01-28,Cash Federal Tax Deposits,Through Depositaries,3252,199097,854993,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,28
2016-01-28,Inter-agency Transfers,null,324,6569,30113,IV,Federal Tax Deposits,Classification,12,2016,2,2016,1,01,28
2016-01-29,Withheld Income and Employment Taxes,null,10056,191115,753432,IV,Federal Tax Deposits,Classification,1,2016,2,2016,1,01,29
2016-01-29,Individual Income Taxes,null,66,12472,21437,IV,Federal Tax Deposits,Classification,2,2016,2,2016,1,01,29
2016-01-29,Railroad Retirement Taxes,null,44,451,1810,IV,Federal Tax Deposits,Classification,3,2016,2,2016,1,01,29
2016-01-29,Excise Taxes,null,2165,6487,25671,IV,Federal Tax Deposits,Classification,4,2016,2,2016,1,01,29
2016-01-29,Corporation Income Taxes,null,47,8813,103476,IV,Federal Tax Deposits,Classification,5,2016,2,2016,1,01,29
2016-01-29,Federal Unemployment Taxes,null,386,899,1691,IV,Federal Tax Deposits,Classification,6,2016,2,2016,1,01,29
2016-01-29,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,36,322,IV,Federal Tax Deposits,Classification,7,2016,2,2016,1,01,29
2016-01-29,Cash Federal Tax Deposits,Direct,777,2618,10742,IV,Federal Tax Deposits,Classification,9,2016,2,2016,1,01,29
2016-01-29,Cash Federal Tax Deposits,Through Depositaries,11125,210223,866119,IV,Federal Tax Deposits,Classification,10,2016,2,2016,1,01,29
